proto,dst_port,total_size,avg_size,std_size,pkt_count,duration,avg_inter_arrival,max_inter_arrival,label,packets_per_second,bytes_per_second
6,80,6765,433,52,28,7.609200229139787,0.16832467298068343,0.30466833374996777,Normal,3.6797554903361878,889.0552104330111
6,80,8281,399,30,33,9.740265896646644,0.22295718961551714,0.6460532350758661,Normal,3.387997510762376,850.1820420188859
6,53,7406,92,74,2,1.560461283651417,0.1061255416513135,0.511735465986789,Normal,1.2816714770702968,4746.02947959131
6,22,1774,304,53,5,0.9923972091979657,0.387135222876408,0.2657772946110847,Normal,5.038300103383791,1787.5888766805692
6,53,6595,80,57,48,9.788107293660635,0.15554232082241437,0.29175257464506144,Normal,4.903909781125702,673.7767709692503
6,22,5979,481,90,36,0.4898413642076781,0.3776772004846978,0.2677862962318942,Normal,73.49303088194534,12205.967545643089
6,53,2145,247,77,3,4.855195821344101,0.335770411532023,0.5079055651445762,Normal,0.6178946210402005,441.79465404374344
6,443,3727,51,27,49,5.555848818104055,0.4532257166133401,0.4392689159988177,Normal,8.819532853521471,670.824468266827
6,443,2167,413,56,5,8.872538013642957,0.29088611908988377,0.12871422497331275,Normal,0.563536547127231,244.23673952494192
17,53,8200,63,37,16,6.3810370776023895,0.20096320615896085,0.9075021376297222,Normal,2.5074290116149625,1285.0573684526682
6,443,7179,221,79,2,5.035298152270334,0.4079430470024083,0.47695886497426343,Normal,0.39719586453929606,1425.7345557638032
6,53,5499,276,57,14,7.669326764287472,0.35873127195287235,0.6705491518351265,Normal,1.8254533422331423,717.0119949242893
17,80,8242,134,78,34,4.036431785285794,0.0414703143711265,0.4277157035065198,Normal,8.423279120103738,2041.9019561145587
17,22,5316,231,32,40,1.590526049834914,0.1712615960272472,0.3997945561398828,Normal,25.148896401448646,3342.288331752525
17,80,5599,388,13,42,6.498539310242988,0.01186272243480192,0.36753420133281955,Normal,6.4629898400106365,861.5780979576084
6,53,7542,151,90,11,7.526969286393424,0.47428329726069707,0.7468011419121472,Normal,1.461411375555023,1001.9967813123623
6,80,291,55,65,11,7.83610300433926,0.07111682648527048,0.8110405558103922,Normal,1.4037588058949606,37.13580113776669
17,53,7136,193,98,14,1.1144729081554856,0.0429643999694862,0.2584398716526396,Normal,12.56198094684043,6403.021145475236
6,22,563,404,66,42,7.806548464859134,0.06797326714908822,0.31912686570509263,Normal,5.380097851049468,72.1189307176393
6,80,8373,236,15,47,2.026888049186443,0.31685222290738363,0.37983097570605895,Normal,23.188245068897558,4130.961190678282
6,22,9905,381,73,38,0.44605739534238076,0.20186219261656257,0.9954357749003204,Normal,85.19063960410915,22205.61277049214
17,22,7943,379,23,18,9.69749700547344,0.055450584465559394,0.3492150032736796,Normal,1.8561488736414775,819.0772501852364
6,53,7988,305,91,33,2.6098732833986777,0.36913418219411376,0.4865631207189096,Normal,12.644287201844122,3060.6838232827527
6,53,6439,336,49,18,3.938666051199352,0.15447866453574527,0.4545070786175964,Normal,4.570074029110653,1634.8170374135277
6,53,8198,376,51,25,2.898560688494054,0.22605096266213187,0.557838389460431,Normal,8.624967375798283,2828.2993018717725
6,80,280,250,25,32,0.8455347643615914,0.24260407571200998,0.30647123520661634,Normal,37.84582669209871,331.1509835558637
6,443,6698,83,49,31,7.165568705584962,0.4785538187558364,0.8408504486129401,Normal,4.326243588955403,934.7477277039771
6,22,2654,233,31,37,9.06072368359999,0.09081885243743182,0.9326578630435726,Normal,4.083558577491092,292.91255309895564
6,53,5966,313,96,2,8.01634246905221,0.25687957988871574,0.6009383027941839,Normal,0.24949030785933435,744.2295883443943
6,80,9836,424,8,12,4.216842173589352,0.33342653776607184,0.3919704372062017,Normal,2.8457306819370447,2332.550582294398
6,80,2603,425,39,45,1.3860601737076588,0.12750540533432947,0.9505266012154124,Normal,32.466099515381984,1877.983489745318
17,53,2198,52,69,6,6.854781511630061,0.3143784356303259,0.2702958775943941,Normal,0.8753012936326123,320.6520405674137
17,22,5750,379,66,24,4.595542328358912,0.016728648063160247,0.8816422734091773,Normal,5.222451032481181,1251.2122265319495
6,80,1480,345,82,8,3.362460974718647,0.4073448406613909,0.27807679795933876,Normal,2.3792090617379835,440.15367642152694
17,53,9346,208,68,23,7.635002227187578,0.10873064744514026,0.8622703046986329,Normal,3.012441424791939,1224.0990241784982
